Identificador,Codi postal,Codi municipi,Nom municipi
0001,08630,080018,Abrera
0002,08256,080023,Aguilar de Segarra
0003,08281,080023,Aguilar de Segarra
0004,08328,080039,Alella
0005,08587,080044,Alpens
0006,08480,080057,"Ametlla del Vallès, l'"
0007,08350,080060,Arenys de Mar
0008,08358,080076,Arenys de Munt
0009,08717,080082,Argençola
0010,08310,080095,Argentona
0011,08271,080109,Artés
0012,08610,080116,Avià
0013,08611,080116,Avià
0014,08279,080121,Avinyó
0015,08734,080137,Avinyonet del Penedès
0016,08792,080137,Avinyonet del Penedès
0017,08793,080137,Avinyonet del Penedès
0018,08798,080137,Avinyonet del Penedès
0019,08591,080142,Aiguafreda
0020,08911,080155,Badalona
0021,08912,080155,Badalona
0022,08913,080155,Badalona
0023,08914,080155,Badalona
0024,08915,080155,Badalona
0025,08916,080155,Badalona
0026,08917,080155,Badalona
0027,08918,080155,Badalona
0028,08695,080168,Bagà
0029,08550,080174,Balenyà
0030,08660,080180,Balsareny
0031,08001,080193,Barcelona
0032,08002,080193,Barcelona
0033,08003,080193,Barcelona
0034,08004,080193,Barcelona
0035,08005,080193,Barcelona
0036,08006,080193,Barcelona
0037,08007,080193,Barcelona
0038,08008,080193,Barcelona
0039,08009,080193,Barcelona
0040,08010,080193,Barcelona
0041,08011,080193,Barcelona
0042,08012,080193,Barcelona
0043,08013,080193,Barcelona
0044,08014,080193,Barcelona
0045,08015,080193,Barcelona
0046,08016,080193,Barcelona
0047,08017,080193,Barcelona
0048,08018,080193,Barcelona
0049,08019,080193,Barcelona
0050,08020,080193,Barcelona
0051,08021,080193,Barcelona
0052,08022,080193,Barcelona
0053,08023,080193,Barcelona
0054,08024,080193,Barcelona
0055,08025,080193,Barcelona
0056,08026,080193,Barcelona
0057,08027,080193,Barcelona
0058,08028,080193,Barcelona
0059,08029,080193,Barcelona
0060,08030,080193,Barcelona
0061,08031,080193,Barcelona
0062,08032,080193,Barcelona
0063,08033,080193,Barcelona
0064,08034,080193,Barcelona
0065,08035,080193,Barcelona
0066,08036,080193,Barcelona
0067,08037,080193,Barcelona
0068,08038,080193,Barcelona
0069,08039,080193,Barcelona
0070,08040,080193,Barcelona
0071,08041,080193,Barcelona
0072,08042,080193,Barcelona
0073,08750,080193,Barcelona
0074,08859,080207,Begues
0075,43421,080214,Bellprat
0076,08600,080229,Berga
0077,08611,080229,Berga
0078,08415,080235,Bigues i Riells del Fai
0079,08416,080235,Bigues i Riells del Fai
0080,08619,080240,Borredà
0081,08294,080253,"Bruc, el"
0082,08553,080266,"Brull, el"
0083,08559,080266,"Brull, el"
0084,08794,080272,"Cabanyes, les"
0085,08718,080288,Cabrera d'Anoia
0086,08349,080291,Cabrera de Mar
0087,08348,080305,Cabrils
0088,08280,080312,Calaf
0089,08393,080327,Caldes d'Estrac
0090,08140,080333,Caldes de Montbui
0091,08275,080348,Calders
0092,08370,080351,Calella
0093,08281,080364,Calonge de Segarra
0094,08506,080370,Calldetenes
0095,08262,080386,Callús
0096,08472,080399,Campins
0097,08360,080403,Canet de Mar
0098,08420,080410,Canovelles
0099,08445,080425,Cànoves i Samalús
0100,08811,080431,Canyelles
0101,08786,080446,Capellades
0102,08617,080459,Capolat
0103,08440,080462,Cardedeu
0104,08261,080478,Cardona
0105,08787,080484,Carme
0106,08789,080484,Carme
0107,08680,080497,Casserres
0108,08693,080497,Casserres
0109,08618,080500,Castellar del Riu
0110,08211,080517,Castellar del Vallès
0111,08696,080522,Castellar de n'Hug
0112,08296,080538,Castellbell i el Vilar
0113,08755,080543,Castellbisbal
0114,08183,080556,Castellcir
0115,08860,080569,Castelldefels
0116,08604,080575,Castell de l'Areny
0117,08729,080581,Castellet i la Gornal
0118,08732,080581,Castellet i la Gornal
0119,08255,080594,Castellfollit del Boix
0120,08283,080608,Castellfollit de Riubregós
0121,08297,080615,Castellgalí
0122,08251,080620,Castellnou de Bages
0123,08260,080620,Castellnou de Bages
0124,08719,080636,Castellolí
0125,08183,080641,Castellterçol
